orig_name,true_class,doy,hour,station,station_set
10011_I_00038c.JPG,red_deer,303,6,5933_4_For,s2
10024_11150344.JPG,empty,319,16,5838_2For,s1
10029_I_00307a.JPG,european_hare,46,8,5933_4_For,s2
10033_I_00162a.JPG,roe_deer,336,7,5933_4_For,s2
10037_11160357.JPG,empty,320,9,5838_2For,s1
10045_I_00186b.JPG,roe_deer,347,8,5933_4_For,s2
10056_I_00066b.JPG,roe_deer,320,6,5933_4_For,s2
10057_I_00025b.JPG,roe_deer,290,2,5933_4_For,s2
10058_I_00274b.JPG,roe_deer,30,8,5933_4_For,s2
10075_I_00304c.JPG,empty,42,9,5933_4_For,s2
10077_I_00136a.JPG,roe_deer,332,15,5933_4_For,s2
10084_I_00216c.JPG,roe_deer,362,8,5933_4_For,s2
10093_I_00314c.JPG,empty,50,11,5933_4_For,s2
10094_I_00098c.JPG,roe_deer,328,15,5933_4_For,s2
10106_I_00023b.JPG,roe_deer,290,2,5933_4_For,s2
10119_I_00041a.JPG,roe_deer,303,6,5933_4_For,s2
10123_I_00121b.JPG,roe_deer,332,15,5933_4_For,s2
10145_I_00219b.JPG,roe_deer,362,8,5933_4_For,s2
10150_I_00294b.JPG,roe_deer,42,8,5933_4_For,s2
10163_I_00114c.JPG,roe_deer,332,15,5933_4_For,s2
10222_I_00114b.JPG,roe_deer,332,15,5933_4_For,s2
10237_I_00170a.JPG,roe_deer,340,12,5933_4_For,s2
10272_I_00143a.JPG,roe_deer,335,6,5933_4_For,s2
10291_I_00245b.JPG,wild_boar,7,2,5933_4_For,s2
10304_I_00268b.JPG,roe_deer,29,5,5933_4_For,s2
10307_11220627.JPG,roe_deer,326,12,5838_2For,s1
10312_I_00039a.JPG,roe_deer,303,6,5933_4_For,s2
10334_I_00180c.JPG,empty,343,6,5933_4_For,s2
10356_I_00107a.JPG,roe_deer,330,16,5933_4_For,s2
10357_I_00032a.JPG,roe_deer,295,18,5933_4_For,s2
1037_11120517.JPG,empty,316,11,5728_2Fb,s2
10371_I_00271a.JPG,roe_deer,29,5,5933_4_For,s2
104_I_00015a.JPG,empty,281,23,5636_4For,s1
10408_I_00011c.JPG,roe_deer,280,17,5933_4_For,s2
10416_I_00133b.JPG,roe_deer,332,15,5933_4_For,s2
10428_I_00311a.JPG,empty,49,5,5933_4_For,s2
10431_I_00199b.JPG,empty,353,15,5933_4_For,s2
10445_I_00183b.JPG,european_hare,346,19,5933_4_For,s2
10449_I_00124c.JPG,roe_deer,332,15,5933_4_For,s2
10455_I_00263c.JPG,red_fox,24,22,5933_4_For,s2
10470_I_00166a.JPG,roe_deer,337,7,5933_4_For,s2
10479_I_00280c.JPG,roe_deer,31,12,5933_4_For,s2
10511_I_00229c.JPG,roe_deer,4,9,5933_4_For,s2
10517_I_00271c.JPG,roe_deer,29,5,5933_4_For,s2
10520_11280840.JPG,empty,332,12,5838_2For,s1
10527_11280847.JPG,empty,332,15,5838_2For,s1
10560_I_00272c.JPG,empty,29,5,5933_4_For,s2
10570_I_00182b.JPG,european_hare,346,19,5933_4_For,s2
10571_I_00141a.JPG,roe_deer,333,12,5933_4_For,s2
10577_I_00071a.JPG,roe_deer,325,5,5933_4_For,s2
10583_I_00214b.JPG,roe_deer,362,8,5933_4_For,s2
10585_I_00231c.JPG,roe_deer,6,19,5933_4_For,s2
10605_I_00181c.JPG,european_hare,343,22,5933_4_For,s2
10610_11300930.JPG,roe_deer,334,10,5838_2For,s1
10618_I_00133c.JPG,roe_deer,332,15,5933_4_For,s2
10620_I_00312b.JPG,roe_deer,49,5,5933_4_For,s2
10623_11300943.JPG,roe_deer,334,10,5838_2For,s1
10624_I_00148c.JPG,roe_deer,335,16,5933_4_For,s2
10628_I_00166c.JPG,empty,337,7,5933_4_For,s2
10662_I_00108b.JPG,empty,330,16,5933_4_For,s2
10703_I_00286a.JPG,roe_deer,39,1,5933_4_For,s2
10705_I_00152b.JPG,roe_deer,336,6,5933_4_For,s2
10713_I_00106b.JPG,roe_deer,330,16,5933_4_For,s2
10721_I_00269a.JPG,roe_deer,29,5,5933_4_For,s2
10729_I_00071c.JPG,roe_deer,325,5,5933_4_For,s2
10744_I_00290b.JPG,empty,40,11,5933_4_For,s2
10773_I_00283a.JPG,european_hare,35,20,5933_4_For,s2
10787_I_00010a.JPG,roe_deer,280,17,5933_4_For,s2
10789_I_00223c.JPG,roe_deer,362,8,5933_4_For,s2
10792_I_00115b.JPG,roe_deer,332,15,5933_4_For,s2
10793_I_00106c.JPG,roe_deer,330,16,5933_4_For,s2
1080_10100097.JPG,empty,283,17,5728_2Fb,s2
10804_I_00017b.JPG,red_deer,288,2,5933_4_For,s2
1082_10100099.JPG,empty,283,17,5728_2Fb,s2
10831_I_00122b.JPG,roe_deer,332,15,5933_4_For,s2
10839_I_00243c.JPG,wild_boar,7,2,5933_4_For,s2
108462_10030013.JPG,empty,276,18,8229_2_F,s1
10847_I_00037b.JPG,red_deer,303,6,5933_4_For,s2
108503_10060054.JPG,empty,279,6,8229_2_F,s1
10851_12060172.JPG,roe_deer,340,7,5838_2For,s1
108521_10080072.JPG,red_fox,281,6,8229_2_F,s1
108532_10100083.JPG,roe_deer,283,21,8229_2_F,s1
108567_10110118.JPG,empty,284,20,8229_2_F,s1
108577_10120128.JPG,roe_deer,285,3,8229_2_F,s1
108580_10120131.JPG,roe_deer,285,3,8229_2_F,s1
108583_10120134.JPG,roe_deer,285,3,8229_2_F,s1
108588_10120139.JPG,empty,285,3,8229_2_F,s1
108593_10130144.JPG,empty,286,18,8229_2_F,s1
10861_I_00017a.JPG,red_deer,288,2,5933_4_For,s2
108638_10160189.JPG,others,289,23,8229_2_F,s1
108640_10160191.JPG,empty,289,23,8229_2_F,s1
108641_10160192.JPG,empty,289,23,8229_2_F,s1
108654_10170205.JPG,empty,290,18,8229_2_F,s1
108670_10190221.JPG,others,292,5,8229_2_F,s1
108681_10190232.JPG,others,292,6,8229_2_F,s1
108731_10220282.JPG,red_fox,295,19,8229_2_F,s1
108733_10230284.JPG,red_fox,296,5,8229_2_F,s1
108772_10260323.JPG,others,299,17,8229_2_F,s1
108788_10270339.JPG,empty,300,18,8229_2_F,s1
108794_10270345.JPG,roe_deer,300,19,8229_2_F,s1
108798_10270349.JPG,roe_deer,300,19,8229_2_F,s1
108800_10270351.JPG,roe_deer,300,19,8229_2_F,s1
108814_10280365.JPG,empty,301,7,8229_2_F,s1
108819_10280370.JPG,empty,301,8,8229_2_F,s1
108836_10300387.JPG,empty,303,3,8229_2_F,s1
108847_10300398.JPG,red_fox,303,18,8229_2_F,s1
108855_11030406.JPG,red_fox,307,3,8229_2_F,s1
10887_I_00034c.JPG,empty,301,5,5933_4_For,s2
108903_11080454.JPG,empty,312,23,8229_2_F,s1
108914_11090465.JPG,roe_deer,313,4,8229_2_F,s1
108918_11090469.JPG,empty,313,4,8229_2_F,s1
108952_11110503.JPG,roe_deer,315,4,8229_2_F,s1
108953_11110504.JPG,roe_deer,315,4,8229_2_F,s1
108962_11130513.JPG,empty,317,5,8229_2_F,s1
108980_11150531.JPG,roe_deer,319,6,8229_2_F,s1
108985_11150536.JPG,roe_deer,319,7,8229_2_F,s1
108989_11150540.JPG,roe_deer,319,7,8229_2_F,s1
109010_11190561.JPG,others,323,22,8229_2_F,s1
109011_11190562.JPG,empty,323,22,8229_2_F,s1
109015_11200566.JPG,others,324,16,8229_2_F,s1
109018_11200569.JPG,empty,324,16,8229_2_F,s1
109020_11200571.JPG,empty,324,16,8229_2_F,s1
109021_11200572.JPG,red_fox,324,18,8229_2_F,s1
109025_11220576.JPG,red_squirrel,326,7,8229_2_F,s1
109030_11230581.JPG,others,327,3,8229_2_F,s1
109032_11230583.JPG,empty,327,3,8229_2_F,s1
109062_11250613.JPG,roe_deer,329,7,8229_2_F,s1
109065_11250616.JPG,others,329,7,8229_2_F,s1
109066_11250617.JPG,red_fox,329,18,8229_2_F,s1
109080_11280631.JPG,red_fox,332,5,8229_2_F,s1
109092_12010643.JPG,others,335,3,8229_2_F,s1
109097_12010648.JPG,others,335,3,8229_2_F,s1
109100_12010651.JPG,others,335,3,8229_2_F,s1
109102_12010653.JPG,others,335,3,8229_2_F,s1
109104_12010655.JPG,others,335,3,8229_2_F,s1
109144_12120695.JPG,empty,346,6,8229_2_F,s1
109145_12120696.JPG,empty,346,6,8229_2_F,s1
109162_12150713.JPG,red_fox,349,21,8229_2_F,s1
109173_12160724.JPG,empty,350,6,8229_2_F,s1
109181_12170732.JPG,others,351,5,8229_2_F,s1
109219_12250770.JPG,roe_deer,359,17,8229_2_F,s1
109223_12250774.JPG,empty,359,17,8229_2_F,s1
109226_12260777.JPG,roe_deer,360,7,8229_2_F,s1
109230_12260781.JPG,empty,360,7,8229_2_F,s1
109240_12270791.JPG,others,361,7,8229_2_F,s1
109243_12270794.JPG,red_fox,361,16,8229_2_F,s1
109259_12280810.JPG,roe_deer,362,8,8229_2_F,s1
109269_12290820.JPG,roe_deer,363,18,8229_2_F,s1
109284_12300835.JPG,empty,364,9,8229_2_F,s1
10929_I_00207c.JPG,empty,359,16,5933_4_For,s2
1093_10100110.JPG,empty,283,17,5728_2Fb,s2
10930_I_00044c.JPG,roe_deer,303,6,5933_4_For,s2
109307_01050858.JPG,roe_deer,5,7,8229_2_F,s1
10932_I_00077b.JPG,others,325,5,5933_4_For,s2
109320_01080871.JPG,empty,8,1,8229_2_F,s1
109342_01110893.JPG,roe_deer,11,18,8229_2_F,s1
109349_01110900.JPG,roe_deer,11,18,8229_2_F,s1
109365_01140916.JPG,red_fox,14,1,8229_2_F,s1
109422_01200973.JPG,roe_deer,20,8,8229_2_F,s1
109425_01200976.JPG,roe_deer,20,8,8229_2_F,s1
109439_01210990.JPG,red_fox,21,4,8229_2_F,s1
109449_01210001.JPG,european_hare,21,20,8229_2_F,s1
