,ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0,202306211147,0.1,xception,0,0.9349854199922536,0.9388477631155456,0.9347811070460104,0.9388477631155456,0.9057450628366248,0.9954841946813848,0.0045158053186151,0.0942549371633752
1,202306211529,0.1,xception,0,0.933179863175737,0.9372384937238494,0.932576435666424,0.9372384937238494,0.9030520646319568,0.9959859508278976,0.0040140491721023,0.096947935368043
2,202306211529,0.3,xception,0,0.9329103957711072,0.93691663984551,0.9330678644031312,0.93691663984551,0.8994614003590664,0.9954841946813848,0.0045158053186151,0.1005385996409335
3,202306211529,0.5,xception,0,0.9226846554869492,0.9282265851303508,0.9234306432946896,0.9282265851303508,0.874326750448833,0.9964877069744104,0.0035122930255895,0.1256732495511669
4,202306211529,0.7,xception,0,0.9007954650918726,0.9095590601866752,0.9065373137826954,0.9095590601866752,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
5,202306211529,0.9,xception,0,0.7815883909583883,0.8130028966849051,0.8384532548370373,0.8130028966849051,0.4982046678635548,1.0,0.0,0.5017953321364452
6,202306211529,0.1,densenet121,0,0.8943019853291083,0.9028001287415514,0.8997733792055785,0.9028001287415514,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
7,202306211529,0.3,densenet121,0,0.8990515335691138,0.90762793691664,0.8969961047644697,0.90762793691664,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
8,202306211529,0.5,densenet121,0,0.889093802880448,0.9015127132281944,0.8893981577539468,0.9015127132281944,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
9,202306211529,0.7,densenet121,0,0.8811876009775598,0.894110074026392,0.8839002102791274,0.894110074026392,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
10,202306211529,0.9,densenet121,0,0.7803981142793998,0.8123591889282266,0.8339160331411876,0.8123591889282266,0.4982046678635548,1.0,0.0,0.5017953321364452
11,202306211529,0.1,inception_resnet_v2,0,0.901269627039912,0.9089153524299968,0.9033413838370756,0.9089153524299968,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
12,202306211529,0.3,inception_resnet_v2,0,0.9005890113903652,0.9095590601866752,0.9014353630833836,0.9095590601866752,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
13,202306211529,0.5,inception_resnet_v2,0,0.8989292702219188,0.9073060830383006,0.8999890044848318,0.9073060830383006,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
25,202306211529,0.7,inception_resnet_v2,0,0.8862662123740386,0.8989378822014805,0.8941033716901797,0.8989378822014805,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
26,202306211529,0.1,xception,0,0.933179863175737,0.9372384937238494,0.932576435666424,0.9372384937238494,0.9030520646319569,0.9959859508278976,0.004014049172102358,0.09694793536804308
27,202306211529,0.3,xception,0,0.9329103957711071,0.9369166398455101,0.9330678644031313,0.9369166398455101,0.8994614003590664,0.9954841946813848,0.004515805318615153,0.10053859964093358
28,202306211529,0.5,xception,0,0.9226846554869492,0.9282265851303508,0.9234306432946896,0.9282265851303508,0.874326750448833,0.9964877069744105,0.0035122930255895636,0.12567324955116696
29,202306211529,0.7,xception,0,0.9007954650918726,0.9095590601866752,0.9065373137826954,0.9095590601866752,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
31,202306211529,0.1,densenet121,0,0.8943019853291083,0.9028001287415514,0.8997733792055785,0.9028001287415514,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
32,202306211529,0.3,densenet121,0,0.8990515335691138,0.9076279369166399,0.8969961047644697,0.9076279369166399,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
33,202306211529,0.5,densenet121,0,0.889093802880448,0.9015127132281944,0.8893981577539468,0.9015127132281944,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
34,202306211529,0.7,densenet121,0,0.8811876009775598,0.894110074026392,0.8839002102791274,0.894110074026392,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
36,202306211529,0.1,inception_resnet_v2,0,0.9012696270399119,0.9089153524299968,0.9033413838370756,0.9089153524299968,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
37,202306211529,0.3,inception_resnet_v2,0,0.9005890113903652,0.9095590601866752,0.9014353630833836,0.9095590601866752,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
38,202306211529,0.5,inception_resnet_v2,0,0.8989292702219188,0.9073060830383006,0.8999890044848318,0.9073060830383006,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
39,202306211529,0.7,inception_resnet_v2,0,0.8862662123740386,0.8989378822014805,0.8941033716901797,0.8989378822014805,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
40,202306211529,0.9,inception_resnet_v2,0,0.7767297794675427,0.810106211779852,0.8281663620428872,0.810106211779852,0.4982046678635548,1.0,0.0,0.5017953321364452
