,ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0,202306211530,0.1,xception,0,0.9296024247032444,0.9346636626971356,0.9297226104228898,0.9346636626971356,0.9021543985637342,0.9944806823883592,0.0055193176116407,0.0978456014362657
1,202306211530,0.3,xception,0,0.9321962853098296,0.9362729320888316,0.9320607072415624,0.9362729320888316,0.8994614003590664,0.9954841946813848,0.0045158053186151,0.1005385996409335
2,202306211530,0.5,xception,0,0.9224783489415268,0.9282265851303508,0.9240145730446592,0.9282265851303508,0.8734290843806104,0.9969894631209232,0.0030105368790767,0.1265709156193895
3,202306211530,0.7,xception,0,0.8996851722714876,0.9085934985516576,0.9059200663960492,0.9085934985516576,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
4,202306211530,0.9,xception,0,0.7776756974727872,0.8107499195365304,0.825425466933118,0.8107499195365304,0.4982046678635548,1.0,0.0,0.5017953321364452
5,202306211530,0.1,densenet121,0,0.8768709112809114,0.8947537817830705,0.881016082191563,0.8947537817830705,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
6,202306211530,0.3,densenet121,0,0.8942205687573564,0.9028001287415514,0.8909975403802476,0.9028001287415514,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
7,202306211530,0.5,densenet121,0,0.8840971924313331,0.8966849050531059,0.8812469438524226,0.8966849050531059,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
8,202306211530,0.7,densenet121,0,0.8679895011582078,0.8847763115545543,0.8698035916398215,0.8847763115545543,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
9,202306211530,0.9,densenet121,0,0.7786623947185982,0.8113936272932089,0.8317876411155256,0.8113936272932089,0.4982046678635548,1.0,0.0,0.5017953321364452
10,202306211530,0.1,inception_resnet_v2,0,0.8884428257963778,0.902478274863212,0.899564209148267,0.902478274863212,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
11,202306211530,0.3,inception_resnet_v2,0,0.902307487505124,0.9121338912133892,0.9038586255625324,0.9121338912133892,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
12,202306211530,0.5,inception_resnet_v2,0,0.895197005502257,0.9047312520115868,0.8965370943915428,0.9047312520115868,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
24,202306211530,0.7,inception_resnet_v2,0,0.8760134796055689,0.8925008046346958,0.882710636433351,0.8925008046346958,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
25,202306211530,0.1,xception,0,0.9296024247032445,0.9346636626971355,0.9297226104228898,0.9346636626971355,0.9021543985637342,0.9944806823883593,0.0055193176116407425,0.09784560143626571
26,202306211530,0.3,xception,0,0.9321962853098297,0.9362729320888317,0.9320607072415623,0.9362729320888317,0.8994614003590664,0.9954841946813848,0.004515805318615153,0.10053859964093358
27,202306211530,0.5,xception,0,0.9224783489415268,0.9282265851303508,0.9240145730446592,0.9282265851303508,0.8734290843806104,0.9969894631209232,0.0030105368790767687,0.12657091561938957
28,202306211530,0.7,xception,0,0.8996851722714876,0.9085934985516575,0.9059200663960492,0.9085934985516575,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
30,202306211530,0.1,densenet121,0,0.8768709112809114,0.8947537817830705,0.881016082191563,0.8947537817830705,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
31,202306211530,0.3,densenet121,0,0.8942205687573564,0.9028001287415514,0.8909975403802476,0.9028001287415514,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
32,202306211530,0.5,densenet121,0,0.8840971924313331,0.8966849050531059,0.8812469438524226,0.8966849050531059,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
33,202306211530,0.7,densenet121,0,0.8679895011582078,0.8847763115545543,0.8698035916398215,0.8847763115545543,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
35,202306211530,0.1,inception_resnet_v2,0,0.8884428257963778,0.9024782748632121,0.899564209148267,0.9024782748632121,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
36,202306211530,0.3,inception_resnet_v2,0,0.902307487505124,0.9121338912133892,0.9038586255625323,0.9121338912133892,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
37,202306211530,0.5,inception_resnet_v2,0,0.895197005502257,0.9047312520115868,0.8965370943915428,0.9047312520115868,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
38,202306211530,0.7,inception_resnet_v2,0,0.8760134796055689,0.8925008046346958,0.882710636433351,0.8925008046346958,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
39,202306211530,0.9,inception_resnet_v2,0,0.7781702699927343,0.8110717734148697,0.8331618063208258,0.8110717734148697,0.4982046678635548,1.0,0.0,0.5017953321364452
