,ts,md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0,202306220716,0.1,xception,0,0.9344686444490212,0.9385259092372064,0.9352154457485936,0.9385259092372064,0.900359066427289,0.994982438534872,0.0050175614651279,0.0996409335727109
1,202306220716,0.3,xception,0,0.93140850765685,0.935307370453814,0.9310967957089012,0.935307370453814,0.8994614003590664,0.9954841946813848,0.0045158053186151,0.1005385996409335
2,202306220716,0.5,xception,0,0.9163551287412078,0.9224332153202446,0.9165751972689872,0.9224332153202446,0.8770197486535009,0.9964877069744104,0.0035122930255895,0.1229802513464991
3,202306220716,0.7,xception,0,0.9006686600416887,0.9089153524299968,0.9066831312504464,0.9089153524299968,0.7998204667863554,0.9979929754139488,0.0020070245860511,0.2001795332136445
4,202306220716,0.9,xception,0,0.7843975562428517,0.8149340199549404,0.8411649409299321,0.8149340199549404,0.4982046678635548,1.0,0.0,0.5017953321364452
5,202306220716,0.1,densenet121,0,0.8834442899141381,0.8944319279047312,0.8814315031911583,0.8944319279047312,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
6,202306220716,0.3,densenet121,0,0.888671059662729,0.8973286128097844,0.8874525379567229,0.8973286128097844,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
7,202306220716,0.5,densenet121,0,0.8890429004015773,0.8999034438364982,0.887507822757132,0.8999034438364982,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
8,202306220716,0.7,densenet121,0,0.8707462387230105,0.8870292887029289,0.8754428074531553,0.8870292887029289,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
9,202306220716,0.9,densenet121,0,0.7790626055031705,0.8113936272932089,0.8306122188101969,0.8113936272932089,0.4982046678635548,1.0,0.0,0.5017953321364452
10,202306220716,0.1,inception_resnet_v2,0,0.8936538755557836,0.902478274863212,0.8915978606913938,0.902478274863212,0.9057450628366248,0.989964877069744,0.0100351229302558,0.0942549371633752
11,202306220716,0.3,inception_resnet_v2,0,0.8962986145943561,0.9056968136466044,0.8947539891275861,0.9056968136466044,0.900359066427289,0.9919719016557952,0.0080280983442047,0.0996409335727109
12,202306220716,0.5,inception_resnet_v2,0,0.8957138313113838,0.9066623752816222,0.8960046907086545,0.9066623752816222,0.8770197486535009,0.9954841946813848,0.0045158053186151,0.1229802513464991
24,202306220716,0.7,inception_resnet_v2,0,0.8782613471188995,0.8937882201480528,0.8850216268718756,0.8937882201480528,0.800718132854578,0.9979929754139488,0.0020070245860511,0.1992818671454219
25,202306220716,0.1,xception,0,0.9344686444490213,0.9385259092372064,0.9352154457485936,0.9385259092372064,0.900359066427289,0.994982438534872,0.005017561465127948,0.09964093357271095
26,202306220716,0.3,xception,0,0.9314085076568501,0.935307370453814,0.9310967957089011,0.935307370453814,0.8994614003590664,0.9954841946813848,0.004515805318615153,0.10053859964093358
27,202306220716,0.5,xception,0,0.9163551287412078,0.9224332153202446,0.9165751972689873,0.9224332153202446,0.8770197486535009,0.9964877069744105,0.0035122930255895636,0.1229802513464991
28,202306220716,0.7,xception,0,0.9006686600416887,0.9089153524299968,0.9066831312504463,0.9089153524299968,0.7998204667863554,0.9979929754139488,0.002007024586051179,0.2001795332136445
30,202306220716,0.1,densenet121,0,0.8834442899141381,0.8944319279047312,0.8814315031911583,0.8944319279047312,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
31,202306220716,0.3,densenet121,0,0.888671059662729,0.8973286128097844,0.8874525379567229,0.8973286128097844,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
32,202306220716,0.5,densenet121,0,0.8890429004015773,0.8999034438364982,0.887507822757132,0.8999034438364982,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
33,202306220716,0.7,densenet121,0,0.8707462387230105,0.8870292887029289,0.8754428074531553,0.8870292887029289,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
35,202306220716,0.1,inception_resnet_v2,0,0.8936538755557836,0.9024782748632121,0.8915978606913938,0.9024782748632121,0.9057450628366248,0.9899648770697441,0.010035122930255895,0.09425493716337523
36,202306220716,0.3,inception_resnet_v2,0,0.8962986145943561,0.9056968136466045,0.8947539891275861,0.9056968136466045,0.900359066427289,0.9919719016557953,0.008028098344204716,0.09964093357271095
37,202306220716,0.5,inception_resnet_v2,0,0.8957138313113838,0.9066623752816222,0.8960046907086545,0.9066623752816222,0.8770197486535009,0.9954841946813848,0.004515805318615153,0.1229802513464991
38,202306220716,0.7,inception_resnet_v2,0,0.8782613471188995,0.8937882201480528,0.8850216268718756,0.8937882201480528,0.800718132854578,0.9979929754139488,0.002007024586051179,0.1992818671454219
39,202306220716,0.9,inception_resnet_v2,0,0.7752135778388102,0.8097843579015127,0.8277895044754552,0.8097843579015127,0.4982046678635548,1.0,0.0,0.5017953321364452
