md_threshold,backbone,finetune_layers,f1,acc,prec,rec,empty_tnr,empty_tpr,empty_fnr,empty_fpr
0.5,xception,0,0.9089,0.9155,0.9089,0.9155,0.8691,0.9845,0.0155,0.1309
0.7,xception,0,0.9083,0.9152,0.9076,0.9152,0.8623,0.9880,0.0120,0.1377
0.9,inception_resnet_v2,0,0.9072,0.9147,0.9079,0.9147,0.8463,0.9919,0.0081,0.1537
0.5,inception_resnet_v2,0,0.9071,0.9141,0.9068,0.9141,0.8662,0.9867,0.0133,0.1338
0.3,inception_resnet_v2,0,0.9062,0.9118,0.9057,0.9118,0.8735,0.9793,0.0207,0.1265
0.9,xception,0,0.9048,0.9123,0.9049,0.9123,0.8497,0.9898,0.0102,0.1503
0.7,inception_resnet_v2,0,0.9043,0.9112,0.9035,0.9112,0.8620,0.9852,0.0148,0.1380
0.3,xception,0,0.9041,0.9085,0.9041,0.9085,0.8759,0.9727,0.0273,0.1241
0.1,xception,0,0.9039,0.9072,0.9037,0.9072,0.8920,0.9627,0.0373,0.1080
0.9,densenet121,0,0.9032,0.9117,0.9040,0.9117,0.8488,0.9893,0.0107,0.1512
0.7,densenet121,0,0.9028,0.9103,0.9017,0.9103,0.8627,0.9854,0.0146,0.1373
0.5,densenet121,0,0.9016,0.9089,0.8999,0.9089,0.8651,0.9831,0.0169,0.1349
0.3,densenet121,0,0.8985,0.9062,0.8972,0.9062,0.8735,0.9768,0.0232,0.1265
0.1,inception_resnet_v2,0,0.8943,0.8996,0.8940,0.8996,0.8852,0.9579,0.0421,0.1148
0.1,densenet121,0,0.8882,0.8940,0.8868,0.8940,0.8877,0.9563,0.0437,0.1123
